id,text,target
1038,누군지 밝히셈ㅋ 그리고 걘 연예계에서 영구퇴출가자 정유라랑 다를바없잖아ㅋ,누군지 밝혀야 한다. 그리고 그 사람은 연예계에서 영구퇴출해야 한다. 정유라랑 다를 바가 없다. 
1041,누군지모르지만 요즘걸그룹창여들다발라버리네..,누군지 모르지만 요즘 걸그룹보다도 훨씬 예쁘다.
1060,늙탱이 40대 줌들이 빠는 그새끼네 ^^,나이 지긋한 40대 아주머니들이 옹호하시는 그 사람이네 ^^
1063,니 독감걸린걸.. 별걸다기사로 ㅉ,독감 걸린 게 기삿거리는 아닌 것 같다.
1096,다거르고 빅뱅노래는 ㅈㄴ잘냄 노래나 내라,빅뱅 노래는 엄청 좋아 노래 빨리 냈으면 좋겠다
1102,다들 섣부른 판단말길 조사해보면 나올것이고 여기서 난리 필 이유아닌거 같다 우리나라 사람들 은 왜 그렇게 남들에게 괸심이 많은지 내주변도 잘 돌보지 못하면서 오지랍 쩔어,"다들 섣부르게 판단하지 말았으면 좋겠다. 조사해보면 나올 것이고 여기서 난리 피울 정도는 아닌 것 같다. 내 주변도 그렇고, 자신의 행동에 비해 다른 사람에게 관심이 지나치게 많은 것 같다."
1133,대가리에 피도안마른 것들. 육갑하고 있네. 육아가 뭔지는 아냐?,젊은 사람들이 육아에 대해 잘 알지 못하는 상태로 이야기하는 것 같다.
1173,댓글중에 슬슬 쿵쾅거리는데....,댓글 중 맘에 안 드는 댓글이 있다.
1221,동백꽃에 쳐발려서 망한 드라마 소리소문없이 종영,동백 꽃에 패배한 드라마 소리 소문 없이 종영
1241,두둔하는건 아닌데 전문보니 당한애도 정상은 아닌듯,두둔하는건 아닌데 전문보니 당한애도 책임이 있는듯
1270,뒤지던지 말던지.,신경쓰지 않으려고 한다.
1290,듣보가 죽어도 조문오내,잘 모르는 사람의 장례에도 조문을 오네
1291,듣보같은데 소속사 알바 ㅈㄹ풀었네 ㅉ,"들어본 적 없는 것 같은데, 소속사에서 홍보를 너무 많이하는 것 같다."
1317,또 김종국 몸 보고 몸도 좋은데 군대 방위 갔다고 까는놈들 나올때 됐는데 ...ㅈ도 모르면서 ...,"김종국의 몸만 보고, 몸도 좋은데 군대 방위 갔다고 비난하는 사람들은 사실을 파악하고 의견을 제시했으면 좋겠다."
1325,또 오해영 에릭말고는 신화 그닥이지 않나???,신화에서 에릭을 가장 좋아한다.
1451,모유수유 중단하고 분유스유하면되지!맨날 니 젖안나오는것도 인터넷뉴스로 봐야하니!,모유수유를 중단하고 분유수유를 하면 된다. 개인의 사생활까지 인터넷 뉴스로 공개할 필요는 없다.
1454,몰입도 안되고 내용은 겁나게 어지럽고 CG는 개 유치하고 ~~뭐 이런작품을 540억 들여 만들었단게 미스테리다,이 작품은 투자 대비 성과가 떨어지는 것 같다.
1466,몸이 화났다고? 발정났나? 무슨 개같은소리 쳐하노?,몸이 화났다는 말은 무슨 말인지 모르겠다
1510,문재앙놈 땜에 애꿎은 젊은남자들만 희생을 당하네~~~,문재인 때문에 잘못 없는 청년 남성들만 희생한다.
1523,문재인도 극혐,문재인도 별로 좋아하지 않는다.
1559,뭐여? 이 듣보는...,이 사람은 처음 본다.
1572,뭘 걍 많이 먹었겠지 내조덕이야 여성은 내조만해야하나? 성차별적 발언인데,"그냥 많이 먹은 거지, 내조 덕은 아닌 것 같다. 여성은 내조만 해야 한다고 생각하지 않는다. 성평등적인 시각이 필요하다."
1592,미모같은소리하네!! 미모가 다 얼어죽었다!!!,예쁘지 않습니다
1593,미세먼지 들이마시면서 캠핑을 하고 싶을까?,미세먼지 들이마시면서 캠핑하는 건 좋지 않은 생각인 것 같다.
1606,미투당하는한남들보다 훨씬나음 음악으루보답해주세영,성희롱을 고발당하는 한국 남성들보다 훨씬 나음 음악으로 보답해 주세요
1616,믿고 거르는 우익년,우익을 지지하지 않는다.
1621,바람피운건 잘못은 맞지만 외모평가는 저 근거없는 자신감은 어서 나오는걸까,바람피운건 잘못은 맞지만 외모평가는 안했으면 좋겠다 저 근거없는 자신감은 어서 나오는걸까
1622,바람핀것 맞다는애들 기사나 읽어보고 개소리하는거냐 ㅋㅋ 그런일 있었다곤 언급도 없었는데 허위사실유포하는거 ㅈㄴ 웃기네 ㅋㅋㅋ 김흥국한테 고소나 쳐맞길 ㅋㅋ,"바람 피운 게 맞다는 사람들은 기사를 다시 정독할 필요가 있다. 그런 일 있었다고 언급하지 않았는데, 허위사실을 유포하는 게 납득이 되지 않는다. 김흥국에게 고소를 당할 수 있다."
1629,박나래 저사각턱이?? 방송사고급 표현 아닌가,박나래가? 문제 있는 표현 아닌가
1633,박명수 저 시키나 없애라.진짜 방송 처 하기 싫은거 바로 티난다.완전 거저 먹고 자빠졌네.,박명수를 보고 싶지 않다. 방송을 하기 싫어하는 태도가 보인다. 하는 것에 비해 받는 게 많아보인다.
1636,박민영 너무 삭았네,박민영이 많이 성숙해졌다.
1646,박봄의 보이스와 몸매는 아직도 먹어준다,박봄의 보이스와 몸매는 아직도 뛰어나다
1672,반대상황이었음 남자 ㅈㄴ까겠지 ㅂㅅ페미 쿵쾅이들 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 무슨 이모랑 결혼해서 사냐 남자 부모 개불쌍하다,반대상황이었다면 페미니스트가 남자를 매우 비판했을 것이다. 여자와 나이 차이가 많이 나 보인다. 남자 부모가 불쌍하다.
1697,방송에서도 자살 부추기네 그놈의 자살,방송에서도 자살 부추기는 것 같다
1703,방탄 멤버 하나하나 다 헤드샷 당해라,방탄 멤버들이 그다지 마음에 들진 않는다.
1704,방탄 소년단이니까.. 전쟁에서 방탄용으로 쓰면 된다는거죠? 군대 보냅시다!!!,방탄소년단을 군대 보냅시다!!
1705,방탄소년단도 이제 퇴물됬네 꺼져라 이제 ㅋㅋ,방탄소년단도 오래됐네
1765,별것도 아닌건데 무슨 단독이라고 기사를 쓴건지..돈벌기 힘들지.,단독이라고 기사를 쓸 정도의 사건은 아니라고 생각한다. 질이 좋은 기사를 작성했으면 좋겠다.
1773,병은 안타깝지만 티비에 안나온다니 개이득이네요,당신의 병이 안타깝다. 쾌유를 바란다.
1824,불륜하는것들은 다 죽어야돼특히 유부녀년들은.,불륜하는것들은 다 혼나야돼
1865,빠심때문에 ㅂㄷ거리면서 댓글다는거 구경하기 개꿀잼이네 진짜ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,이상한 심리로 댓글다는거 구경하기 너무 재미있다.
1881,사과 했잖아 그럼 좀 작작하고 그만 해라. 성매매충 한남들한텐 관대하면서,사과 했잖아 그럼 그만 해라 다른 사람들한텐 관대하면서
1897,사랑의 불시착 하는시간인데 이상한 노잼 드라마가 하고있다 ㅡㅡ 어딨는거냐 표치수~~~~~,사랑의 불시착이 지금 방영하는 드라마보다 더 재미있는 것 같다. 어딨는 거냐 표치수!
1917,"사쿠라,나코,히토미,미우,미루,에리이,사에를 데리고 와서 한국에서 아이돌 데뷔시키자. 아이즈원 그냥 쳐 바르고 탑아이돌급 인기 얻는다.","사쿠라, 나코, 히토미, 미우, 미루, 에리이, 사에를 데리고 와서 한국에서 아이돌 데뷔시키자. 아이즈원을 넘어 더 인기있는 탑아이돌이 될 거다."
1977,설리 그만좀 괴롭혀라 못생긴 안이쁜 뇬드라,설리 그만 좀 괴롭혀라 외적 매력 높지 않은 사람들아
1982,설리가 이뻐서 질투하는 한녀들 겁나 많네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 이쁜게 부러우면 부럽다고해,설리가 이뻐서 질투하는 사람들 엄청 많네 이쁜게 부러우면 부럽다고 해
1994,설현이고 민효린이고 한혜진이고 불쌍하다 방구석악플러한테 ㅈㄴ게까이네,"설현, 민효린, 한혜진이 악플러에게 시달리는 게 너무 안타깝다."
2024,세상에 가짜미투라는건 없다 한남들의 모자란 변명일뿐,세상에 가짜미투라는 것은 없습니다. 가해자들의 모자란 변명일뿐이죠.
2121,수상소감 밥맛이야담부타는 짧고 지루하지 않게 해라.지겹더라.,수상소감을 다음부터는 짧고 지루하지 않게 했으면 좋겠다.
2129,순재씨 야동좀끊으세여,야동 그만보세요
2243,아는형님에서 장성규한테 발린애 ㅋㅋ,아는형님에서 장성규한테 진 사람 ㅋㅋㅋㅋ
2258,아니 사쿠라가 1등 했다고 해봤자 4등 권은비랑 30표정도밖에 차이안나는데 무슨 일뽕이 지구정복이라도 한것처럼 오바하지마라.... 일뽕들만 몰려간거치고는 엄청 공정하게 투표한거구만,"사쿠라가 1등 했다고 해도 4등 권은비와 30표 정도밖에 차이 안 나는데, 일본을 좋아하는 사람들에 대해 과민반응할 필요 없다고 생각한다. 일본을 좋아하는 사람들이 많은 걸 고려했을 때 공정하게 투표한 결과라고 생각한다."
2277,아니땐 굴뚝에 연기가 날까? ㅉ 평소 행실이 어떻길래~,아니땐 굴뚝에 연기가 날까? 평소 행실이 안좋았다
2296,아무리 방송이라지만고주원은 성품이 보이더라시청자들은 바보가 아님걍 꼴뵈기싫다 고주원 ㄲ ㅓㅈ ㅕ,"아무리 방송이라지만, 고주원은 성품이 보이더라. 시청자들도 눈치를 챌 수 있다. 고주원이 별로 마음에 들지 않는다."
2322,아이유 참 못됐다.ㅉㅉ설리 죽음을 이용해서 뜨려고하고있구나,설리를 이용하려는 아이유의 행동이 옳지 않다고 생각한다
2346,아직도 백대표님 백대표님 하면서 자발적 개돼지하는 애들이 많냐,아직도 백대표님이라고 부르며 과도하게 옹호하는 사람들이 많다.
2392,안보면 되지 왜케 말이많으ㅡㅡ프로그램제작을하든가,"안 보면 될텐데, 프로그램 제작에 책임이 있는 게 아니면서 너무 심하게 간섭하는 것 같다."
2407,알았으니까 조용히 짜져있어...,알았으니까 조용히 빠져있으세요.
2424,애나 잘 키워~ 이혼이 자랑이냐,아이 잘 키우는데 집중하면 좋겠다. 이혼은 자랑이 아니다.
2453,야이 멍청한 개돼지들아 블핑이 돈이 안되니 그나마 반응있는 제니 밀어주는거 아니냐 ㅠ 양사장이 매일 밤마다 위스키 들이키며 눈물을 흘린다는데 속좀 이해해주라 ㅋㅋㅋ,바보들아 블핑이 돈이 안 되니 그나마 반응 있는 제니 밀어주는거 아닌가. 양사장이 매일 밤마다 위스키 들이키며 눈물을 흘린다는데 속 좀 이해해주라
2479,"양세형은 개그맨인데 괴짜, 또라이가 뭐 어때서? 그런 타이틀이 서운함 개그맨 못하지","양세형은 개그맨인데 괴짜, 어리석은 인간이 뭐 어때서? 그런 타이틀이 서운함 개그맨 못하지"
2480,양세형이 센스는 있는데 인성이 별로라서. Mbc수상소감만 들었을때부터 비호감,양세형은 센스가 있으니까 인성만 조금 더 잘 챙기면 좋겠다. MBC 수상소감을 들었을 때 인상이 좋지는 않았다.
2481,양씨 털고 다음엔 반드시 방씨 털어야된다.~~!!!!!!!!!,양씨와 방씨에게 잘못이 있다고 생각한다
2488,얘 누군데,이 사람은 누구지?
2538,어떤년인지 아주 성격이 지랄맞네 ㅋㅋㅋ,어떤 사람인지 아주 성격이 이상하네
2551,어이가없다 20년사귄다고ㅋㅋㅋ 서로 사랑하는건 절대 아니다,20년 사귄다고 서로 사랑하는건 절대 아니다
2628,에휴 개돼지들 무혐의 나오니까 바로 태세전환하죠 이러니 결과가 나올때까지 기다려봐야한다니까,편향적으로 생각했던 사람들이 무혐의가 나오니까 바로 의견을 바꾸는 게 보기 좋지 않다. 이래서 결과가 나올 때까지 기다려 볼 필요가 있다.
2630,"에휴 선처 없다네... 인정머리 보소.,","선처가 없다니, 조금만 더 너그러웠으면 좋겠다."
2717,여자도 앞으로 남자들한테 밥 얻어 먹지 마라.빈대년들아,여자도 앞으로 남자에게 밥을 얻어먹지 말았으면 한다. 자립심을 기를 필요가 있다.
2719,여자들 몸둥이 함부로 굴리고 다니면 저리 인생 쫑난다.조심해라!,여자들 몸 잘 돌보지 않고 다니면 저렇게 인생 쫑납니다 조심하세요!
2729,여자들은 기안84 못 잡아먹어서 안달이네ㅋㅋㅋ,여성들이 기안84에게 너무 공격적인 것 같다.
2888,오늘 ost. 여자 쌩목 누구냐? ㅈㄴ 듣기불편 ㄷㄷ,오늘 OST 듣기 불편하다
2892,오랜만에 나와서 그런가 연기 오글거리던데. 어제 보다 채널돌리고 안봄.,오랜만에 나와서 그런가 연기가 어설펐다. 어제 보다 말았다.
2993,요즘 꼬맹쓰들은 툭하면 한남한녀하면서 싸우는데 그러다 결혼은 한국인이랑 결국 할거같은데 그냥 한국남자한국여자 비난하지말구 살어 ㅎㅎ,"요즘 청소년들은 서로의 성별을 혐오하면서 싸운다. 결혼은 한국인끼리 할 것 같은데, 그냥 서로를 비난하지 말았으면 좋겠다."
3002,요즘 인지도 올릴려고 노력들 마니하네 ㅎ차라리 남자는 일베다 여자는 메갈이다 이래야 관심끈다,요즘 인지도 올리려고 노력을 많이 하는 것 같다. 성별과 관련한 자극적인 언행을 보인다면 더 많은 관심을 받을 수 있을 것이다.
3046,웃기네.. 세월호 리본 떼셨네.. 연예인들 정치하십니까? 세월호는 충분히 정치적입니다. 재수없고 역겹다,웃기네.. 세월호는 충분히 정치적입니다.
3081,유재석 팬들 부덜부덜 난리네 니들은 객관성이 없어 그게 유재석에게 마이너스 무조건 응원해주는 게 독이지,유재석 팬들이 반발하고 있다. 객관성이 부족하다. 그게 유재석에게 오히려 독이 될 수 있다. 무조건 응원하는 게 좋은 건 아니다.
3087,유학까지 갔다와서 왜 레스토랑서 근무하지? 안갖다와도 할수있잖아,유학 갔다온 후 레스토랑에서 근무하는 특별한 이유가 있을까? 유학과 레스토랑은 연관성이 적어 보여서 궁금했어
3091,육중완 두얼굴에 가증스러운 인간이네 지가 좀 뜨니깐 아깝다 그건가? 가난한 음악할때를 잊은거지 둘만하면 잘될것 같냐 나머지 세분들 힘내세요 육중완밴드 망해라,육중완은 두 얼굴을 가지고 있다. 자신이 조금 뜨니까 아깝다고 생각하는 것 같다. 가난한 음악할 때를 잊은 것 같다. 둘만하면 잘되지 않을 것이다. 나머지 세분들 힘내세요!
3099,윤세아는좋은데 노잼 드라마,윤세아는 좋은데 재미없는 드라마
3141,응그나저나 안시성 폭망 좊노잼영화일듯,안시성이 잘 되지 않았다. 재미있는 영화는 아닌 것 같다.
3197,이게 가수지. 양준일 보고있나. 그게 노래냐ㅉ,양준일보다 이 사람의 노래를 더 좋아한다.
3198,이게 공효진이 욕먹을 일인가ㅋ 여자들 뇌구조가 심히 걱정스럽네. 자기나온 영상 공효진 허락도 안받고 올리는것자체가 문제인건데,공효진이 욕먹을 일은 아니라고 생각한다. 여성들의 생각을 이해하기 어렵다. 자기 나온 영상 공효진 허락 없이 올리는 것 자체가 문제이다.
3206,이게 왜 실시간 검색어1위?????진짜 웃긴다 네이버 새끼들...,이게 왜 실시간 검색어 1위지? 네이버가 이해되지 않는다.
3242,이런 포맷.. 넘 지겹네요.전혀 차별성 없음,이런 포맷이 계속 반복되어 차별성이 없어 보인다
3247,이런걸보고 ㅂㅅ 육깝하네라고하지요,이런 것을 보고 적절하지 못하다고 한다.
3257,이럴 골빈 그럼 결혼을 하지말든가나중에 누구엄마라고 부르면 화내겠네,불만이 있다면 결혼을 하지 않는 게 나아보인다. 나중에 누구 엄마라고 불리면 화를 낼 것 같다.
3263,이름 딱 듣고 알만한 사람 아니면.. 왠만하면 부고 내지 말지? 정보 홍수 시대에 대체...,"이름 딱 듣고 알만한 사람이 아니면, 부고를 내지 않는 게 맞다고 생각한다. 정보 홍수 시대에 개인적인 일을 보도할 필요는 없다고 생각한다."
3264,이름 좀 실명써라 기안84같은 외계이름 쓰지않았으면 한다,기안84같은 이해하기 어려운 이름보다 실명을 썼으면 좋겠다.
3269,이름이 여자네 생긴것도 기지베 같고,이름이 여자네 생긴것도 여성스럽고
3299,이상윤아 드라마 반응 체크하지? 연기 접어라,이상윤님 연기력 분발해야겠어요
3300,이상하게 여전히 싫은배우 김소연나와서 보고싶은데 지꾸 생각나서 채널돌림,나는 김소연을 좋아하지 않아서 그 프로그램을 보고 싶지 않습니다
3338,이영자는 쳐먹는 방송 말고는 할줄아는게 머임?,이영자는 먹는 방송 말고 할 줄 아는게 없는 것 같다.
3356,"이정재 50대~60대 할매로 보이는데, 김동준에 비교했을때 아버지뻘로 보여",이정재는 50~60대 정도로 보인다. 김동준의 아버지뻘로 보인다.
3385,이창섭 첨들어보는데 저게 아이돌 이름이냐?,이창섭 처음들어보는데 아이돌인가요?
3412,이휘재씨 제발좀... 돈 앞에 이미지 버리지마세요..,이휘재가 제발 돈보다 이미지를 신경쓰면 좋겠다
3419,인생술집좀 나오지마라. 말도 못하는 띨한 애를 왜 쓰냐,인생술집에 안 나왔으면 좋겠다. 말을 더 잘하는 사람을 섭외했으면 좋겠다.
3430,일반인이 아까운건 첨이네,일반인이 더 훌륭한 것 같다
3454,임신먼저한게 자랑? 더러운짓이지,임신을 먼저 한 게 당당한 행동은 아니라고 생각한다.
3455,임신전 손 댔겠지 임신해서는 약 못씀 누가봐도 칼질했는데 무슨 ㅋㅋㅋ 참 뉴스꺼리 없네,임신전에 성형했겠지
3463,임현주 남자 앞에서 실실 쪼개면서 꼬리흔드는게 재섭음. 웃을 일도 아닌데 오바떨고 남자를 홀림.,임현주는 남성 앞에서 웃는 걸 포함해 리액션이 좋고 매력이 있는 것 같다.
3466,잉 약쟁이 왜 방송 기웃거리냐,마약사범이 왜 방송에 출연하지?
3487,자연미인도 아닌게... 네이버일마들 자꾸 띄우는겨? 지겹네 아오~~,자연미인이 아닌 사람을 좋아하는 것을 이해하지 못한다.
3519,잘생긴 육성재 대신 팬들을 위해 니가 군대 두번 가는건 어떻니?,잘생긴 육성재 대신 팬들을 위해 당신이 군대 두번 가는 것은 어떤가?
3533,장동윤 ㅅㅅ 잘 할 것 같음,장동윤은 매력적이다.
3546,"장윤정 만나서 사람됐지~~ 오죽하면 장윤정이 결혼조건으로 프리선언금지, kbs퇴사금지 걸었겠냐?? 얘도 한때는 많이 놀았다든데~~","장윤정 만나서 좋은 방향으로 바뀌었다. 장윤정이 결혼 조건으로 프리 선언 금지, KBS 퇴사 금지 건 이유가 있다. 이 사람도 한때는 많이 놀았다고 하더라."
3557,재앙이도 리명박근혜 탓하던데 비슷한건가 ㅋ,문재인도 이명박 박근혜 탓하던데 비슷한 것 같다.
3579,저 짱개는 왜 갑자기 한국활동하냐,저 중국분은 왜 갑자기 한국에서 활동하지?
3609,저런거 조롱하는 놈들 대깨문이던데 좌좀 빨겡이들 ㅋ,저런 거 조롱하는 사람들은 문재인 지지자던데
3635,전소민얘는 남자하나 꼬실려고 연예인하는것같아 배운지 예능인인지 참,나는 전소민이 좋지 않다. 배우인지 예능인인지 잘 모르겠다
3652,전형적인 남자 몸 좋은 거 좋아할 면상(=성형monster),저 사람은 외모만 밝힐 것처럼 보인다
3731,제발 좀 꺼져라,제발 좀 가주세요
3762,조보아 손이 정말 빠르다. 밤에도 잘해줄듯~~,조보아 손이 정말 빠르다.
3763,조보아 완전 맞는 말 했네 여기서 조보아 욕하는 사람들은 뭐냐 ㅎ 돈 쉽게 버는 연예인? 조보아는 아닌것같은데 연기도 발전하고 있고 타코야키 일주일 연습해서 저 사장만큼 하는데 못 할 말은 아닌듯,조보아 완전 맞는 말 했네 여기서 조보아 욕하는 사람들은 뭔가. 돈 쉽게 버는 연예인? 조보아는 아닌것같은데 연기도 발전하고 있다. 다른 사람에 비해 열심히 하고 있다.
3776,조인성 군대 안가고 뭐해?,조인성은 군대를 가야 한다.
3790,졸라 개재미 없네 쓰레기 졸작,별로 재미가 없다. 안타깝다.
3809,좌빨 인증하네 ㅉㅉ,좌파임을 보이네
3810,좌빨들 악플 다는 것 봐라 ㅋㅋ,좌파 지지자들이 악플을 달고 있다.
3892,지오 쟤는 10년전 엠블랙때보다 어려졌네 뽀샵빨인가 제모빨인가,지오는 10년 전 엠블랙 때보다 어려졌다. 관리를 열심히 한 건지 궁금하다.
3916,진짜 쓰레기같은 기사네....재벌가에 시집간 아나운서 이야기에 누가 관심가진다고 ....;;;;,진짜 필요 없는 기사다. 재벌가에 시집간 아나운서 이야기에 아무도 관심가지지 않는다.
3930,진짜 한혜진.얘는 왜나와 ㅡ ㅡ 완존 노잼!!,진짜 한혜진은 왜나와
3970,참 꼬인 사람들이 많네요 한녀들 종특인 듯...행복하세요,참 꼬인 사람들이 많네요 한국 여자들 특징인 듯...행복하세요
3974,참 애쓴다 애써 걍 당당하게 사귀지 그게 뭔 꼴볼견이냐?,당당하게 사귀는 게 더 좋아보인다.
3979,참 지럴한다 둘이만나다고하는데 뭘 이렇고저렇고 말이많노 암튼 연애못하는것들이 열등감하나는 ㅉㅉ,그렇게 행동할 필요는 없다. 둘이 만난다고 하는데 간섭할 필요는 없다고 생각한다. 연애를 못하는 사람들이 부러워하는 것 같다.
4001,체질 체질하며음식골고루안먹으니까 골골대지,체질을 이유로 음식을 골고루 먹지 않으니까 건강하지 않게 된다.
4018,추자현 발연기부터 어떻게 해라 여기가 아직도 중국인줄 아나봄,추자현은 연기 실력을 늘릴 필요가 있다. 여기는 중국과 다르다.
